English Text,Chinese Translation
Brambleheart,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more classes among <strong>Darkblade</strong> and <strong>Floralist</strong>, and must have acquired the <strong>Chloromancy</strong> Skill</p></blockquote><p>You are Resistant to <strong>light</strong> damage and <strong>poison</strong> damage.</p><p>After you lose Hit Points, if you are in <strong>Crisis</strong> and a <strong>magiseed</strong> is present in your <strong>garden</strong>, you may fill <strong>1 section</strong> of your <strong>Growth Clock</strong>.</p><p>Additionally, when you use the @UUID[Compendium.projectfu.skills.Item.W5hE9L8x7AsJI7a1]{Shadow Strike} Skill, you may have your attack deal <strong>poison</strong> damage instead of <strong>dark</strong> damage (the damage type still cannot be changed). If you do, your <strong>Shadow Strike</strong> deals extra damage equal to <strong>【twice the number of filled sections in your Growth Clock】</strong>.</p>",
Brambleheart: Resistance,
<p>You are Resistant to <strong>light</strong> damage and <strong>poison</strong> damage.</p>,
Brave Bash,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Commander</strong> (see <strong>High Fantasy</strong>, page <strong>140</strong>), <strong>Guardian</strong>, and <strong>Weaponmaster</strong></p></blockquote><p><span class=""fontstyle0"">When you use the </span><span class=""fontstyle2"">@UUID[Compendium.projectfu.skills.Item.7jWycVYFgZ1BMxch]{Bone Crusher} </span><span class=""fontstyle0"">Skill, if your attack targets </span><span class=""fontstyle2""><strong>only one creature</strong> </span><span class=""fontstyle0"">and you have a </span><span class=""fontstyle2""><strong>shield</strong> </span><span class=""fontstyle0"">equipped, you may </span><span class=""fontstyle2""><strong>challenge</strong> </span><span class=""fontstyle0"">that creature until the end of your next turn. The </span><span class=""fontstyle2""><strong>challenge</strong> </span><span class=""fontstyle0"">also ends if that creature is </span><span class=""fontstyle2"">challenged </span><span class=""fontstyle0"">by someone else, or if you </span><span class=""fontstyle2""><strong>challenge</strong> </span><span class=""fontstyle0"">another creature.</span></p><p><span class=""fontstyle0"">The creature you are </span><span class=""fontstyle2""><strong>challenging</strong> </span><span class=""fontstyle0"">must include you among the targets of their attacks and offensive spells ( </span><span class=""fontstyle3"">@ICON[offensive] </span><span class=""fontstyle0"">), if able; additionally, once per turn (including other creatures' turns), when you deal damage to the creature you are </span><span class=""fontstyle2""><strong>challenging</strong> </span><span class=""fontstyle0"">with a </span><span class=""fontstyle2""><strong>free attack</strong> </span><span class=""fontstyle0"">using a </span><span class=""fontstyle2""><strong>one-handed melee</strong> </span><span class=""fontstyle0"">weapon or a </span><span class=""fontstyle2""><strong>custom weapon</strong> </span><span class=""fontstyle0"">belonging to the </span><span class=""fontstyle2""><strong>dagger</strong> </span><span class=""fontstyle0"">or </span><span class=""fontstyle2""><strong>sword</strong> </span><span class=""fontstyle0"">Category, you may deal 5 extra damage to that creature.</span> <br style=""font-style:normal;font-variant:normal;font-weight:normal;letter-spacing:normal;line-height:normal;orphans:2;text-align:-webkit-auto;text-indent:0px;text-transform:none;white-space:normal;widows:2;word-spacing:0px;-webkit-text-size-adjust:auto;-webkit-text-stroke-width:0px"" /></p>",
Bullet Break,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Sharpshooter </strong>Class.</p></blockquote><p>After you negate a <strong>ranged </strong>attack with the @UUID[Compendium.projectfu.skills.Item.sIkQa2NzkqsvczBr]{Crossfire}<strong> </strong>Skill, if the Result of the Accuracy Check was an <strong>even number</strong>, you may perform a <strong>free attack</strong> against the attacker with a <strong>ranged firearm</strong> weapon you have equipped. This attack must have that enemy as its <strong>only </strong>target; treat your <strong>High Roll (HR) </strong>as 0 when calculating damage dealt by it. </p>",
Bullet Time,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Entropist</strong> and <strong>Rogue</strong>, and must have acquired one or more Skills among <strong>Dodge</strong> and <strong>Stolen Time</strong>.</p></blockquote><p>You gain a bonus to your Initiative modiﬁer equal to <strong>【your Skill Level in Dodge + your Skill Level in Stolen Time】</strong>.</p><p>As long as you have no <strong>shield</strong> and no <strong>martial armor</strong> equipped, all damage you suffer is reduced by an amount equal to <strong>【your SL in Dodge】 </strong>(applied <strong>before</strong> damage Afﬁnities) and you deal extra damage equal to <strong>【your SL in Stolen Time】</strong>.</p>",
"<p>You gain a bonus to your Initiative modiﬁer equal to <strong>【your Skill Level in Dodge + your Skill Level in Stolen Time】</strong>.</p><p>As long as you have no <strong>shield</strong> and no <strong>martial armor</strong> equipped, all damage you suffer is reduced by an amount equal to <strong>【your SL in Dodge】 </strong>(applied <strong>before</strong> damage Afﬁnities) and you deal extra damage equal to <strong>【your SL in Stolen Time】</strong>.</p>",
Card Vanguard,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Ace of Cards</strong> Class, and must have acquired the <strong>Magic Cards</strong> Skill. <br /></p></blockquote><p>During a conflict, if you have <strong>two or fewer vanguard cards</strong> in play, you can use an action to choose <strong>1 card</strong> from your <strong>hand </strong>and place it face down as a <strong>vanguard card</strong>; if you do, draw 1 card from your <strong>deck</strong>.</p><p>When you suffer damage, if you have one or more <strong>vanguard cards</strong> in play, you may reveal one of them and place it on top of your <strong>discard pile</strong>: if you do and that card is a <strong>joker</strong> or its <strong>suit</strong> matches the type of the damage you suffered, you instead suffer no damage and regain an equal amount of Mind Points. At the end of each conflict, if you have one or more <strong>vanguard cards</strong> in play, shuffle them back into your <strong>deck</strong>.</p>",
Ceaseless Battlefield,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Commander </strong>Class.</p></blockquote><p>The MP costs for your @UUID[Compendium.projectfu.skills.Item.FGihIPfif7yWsBCp]{Bishop's Edict}, @UUID[Compendium.projectfu.skills.Item.VhWG5AXdBZ8hL4xr]{Charging Cavalry}, and @UUID[Compendium.projectfu.skills.Item.79xGJD8jn4zGzYpX]{King's Castle} are halved. </p>",
Cheer Up!,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Chanter</strong> (see <strong>High Fantasy</strong>, page <strong>136</strong>), Esper (see <strong>Techno Fantasy</strong>, page <strong>150</strong>) and <strong>Orator</strong>, and must have acquired the <strong>My Trust in You</strong> Skill</p></blockquote><p>When you use @UUID[Compendium.projectfu.skills.Item.lK9onKSiMuQEe3zd]{My Trust in You} on another Player Character, that character chooses <strong>Dexterity, Insight, Might, </strong>or<strong> Willpower</strong>: they treat the chosen Attribute as being increased by one die size (up to a maximum of <strong>d12</strong>) until the end of the scene or until you use <strong>My Trust in You</strong> on them again.</p><hr /><ul><li><p><strong>Ally Receives:</strong> @EFFECT[dex-up e:eos i:1 t:source], @EFFECT[ins-up e:eos i:1 t:source], @EFFECT[mig-up e:eos i:1 t:source], or @EFFECT[wlp-up e:eos i:1 t:source]</p></li></ul>",
Chimeric Mastery,
"<blockquote><p><strong>Requirements: </strong>you must have mastered the <strong>Chimerist </strong>Class. </p></blockquote><p>Choose two creature Species among <strong>construct</strong>, <strong>demon</strong>, <strong>elemental</strong>, and <strong>undead</strong>. You can now use <strong>spell mimic</strong> to learn spells from creatures of the chosen Species. </p><p>This Heroic Skill <strong>may be acquired up to twice</strong>, each time selecting two Species from the list above.</p><p>Whenever you acquire this Skill, you also increase your upper limit for memorized Chimerist spells by 2. </p>",
Chimeric Soul,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Chimerist</strong> and <strong>Mutant</strong> (see <strong>Techno Fantasy</strong>, page <strong>154</strong>), and must have acquired the <strong>Spell Mimic</strong> Skill</p></blockquote><p>When you cast one of your Chimerist spells, you gain a benefit based on the <strong>Species</strong> of the creature you originally learned that spell from. Choose one option: you gain Resistance to both damage types associated with that Species; <strong>or</strong> when you deal damage of a type associated with that Species, you deal 5 extra damage. The chosen benefit lasts until the end of the scene, or until you cast a Chimerist spell again.</p><p>The damage types associated to each Species are <strong>air</strong> and <strong>ice</strong> (<strong>beast</strong>), <strong>earth</strong> and <strong>poison</strong> (<strong>construct</strong>), <strong>fire</strong> and <strong>ice</strong> (<strong>demon</strong>), <strong>air</strong> and <strong>bolt</strong> (<strong>elemental</strong>), <strong>bolt</strong> and <strong>fire</strong> (<strong>monster</strong>), <strong>earth</strong> and <strong>light</strong> (<strong>plant</strong>), <strong>dark</strong> and <strong>poison</strong> (<strong>undead</strong>).</p><hr /><ul><li><p><strong>Resistances:</strong> @TYPE[affinity air,ice resistance e:eos i:1 t:source]{Effect: Beast Resistance}, @TYPE[affinity earth,poison resistance e:eos i:1 t:source]{Effect: Construct Resistance}, @TYPE[affinity fire,ice resistance e:eos i:1 t:source]{Effect: Demon Resistance}, @TYPE[affinity air,bolt resistance e:eos i:1 t:source]{Effect: Elemental Resistance}, @TYPE[affinity bolt,fire resistance e:eos i:1 t:source]{Effect: Monster Resistance}, @TYPE[affinity earth,light resistance e:eos i:1 t:source]{Effect: Plant Resistance}, or @TYPE[affinity dark,poison resistance e:eos i:1 t:source]{Effect: Undead Resistance}</p></li><li><p><strong>Extra Damage:</strong> (TBA)</p></li></ul><p></p>",
Clean Slate,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Symbolist </strong>Class.</p></blockquote><p>You may use an action and spend up to 30 Mind Points to choose one creature you can see for every 5 MP spent this way. Each creature chosen this way recovers from all status effects and is no longer affected by any spells with a <strong>duration </strong>of “Scene” that were affecting them. </p><hr /><ul><li><p><strong>You Lose:</strong> @LOSS[5 mp]{1 Creature: 5 MP}, @LOSS[10 mp]{2 Creature: 10 MP}, @LOSS[15 mp]{3 Creature: 15 MP}, @LOSS[20 mp]{4 Creature: 20 MP}, @LOSS[25 mp]{5 Creature: 25 MP}, or @LOSS[30 mp]{6 Creature: 30 MP}</p></li></ul>",
Cleansing Moonlight,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Entropist</strong> and <strong>Spiritist</strong></p></blockquote><p>When you hit one or more creatures with an offensive spell ( @ICON[offensive] ), if you have an <strong>arcane</strong> weapon equipped and the <strong>High Roll</strong> of your <strong>Magic Check</strong> is <strong>8 or higher</strong>, you may have each of those creatures no longer be affected by <strong>all</strong> spells with a duration of """"Scene"""" that are currently affecting them.</p><p>When you cast a spell targeting one or more allies, if you have an <strong>arcane</strong> weapon equipped, you may choose one status effect among <strong>dazed</strong>, <strong>enraged</strong>, <strong>poisoned</strong>, <strong>shaken</strong>, <strong>slow</strong>, and <strong>weak</strong>: if you do, each target recovers from the chosen status effect.</p>",
Comet,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Entropist</strong> Class. <br /></p></blockquote><p>You learn the ultimate <strong>Entropist</strong> spell: <strong>Comet</strong>. <br /></p><table style=""width:94.2636%"" border=""1""><colgroup><col style=""width:12.973%""></col><col style=""width:13.1532%""></col><col style=""width:27.9279%""></col><col style=""width:45.7658%""></col></colgroup><tbody><tr><td style=""text-align:center""><strong>Comet</strong></td><td style=""text-align:center""><strong>MP: </strong>50</td><td style=""text-align:center""><strong>Target: </strong>Special</td><td style=""text-align:center""><strong>Duration: </strong>Instantaneous</td></tr></tbody></table><p>You rip open a large portal to the Cosmos, calling down astral debris from the gaping void. Choose on option: one creature you can see suffers @DMG[60 untyped] damage; or you choose any number of creatures you can see, and each of them suffers @DMG[40 untyped] damage. These amounts increase by 5 if you are <strong>level 20 or higher</strong>, or by 10 if you are <strong>level 40 or higher</strong>.</p><p>Damage dealt by this spell has no type (thus being unaffected by damage Affinities).</p><hr /><p>Add the @UUID[Compendium.projectfu.spells.Item.Vem0KAbARyK1FtPk]{Comet} spell to your character sheet from the <strong>Entropist</strong> spell list.</p>",
Decoy Bait,
"<blockquote><p>Requirements: you must have mastered the <strong>Sharpshooter</strong> Class, and must have acquired the <strong>Hawkeye</strong> Skill.</p></blockquote><p>When you use your @UUID[Compendium.projectfu.skills.Item.hmDCgX5OEk5l4uXW]{Hawkeye} Skill and choose the <strong>first option</strong>, if no <strong>decoy bait</strong> is present on the scene, you may spend 10 Mind Points. If you do, you create a <strong>decoy bait</strong> with Hit Points equal to <strong>【half your level + (your SL in Hawkeye, multiplied by 5)】</strong>.</p><p>When an enemy who can see your <strong>decoy bait</strong> deals damage to one or more creatures, your <strong>decoy bait</strong> automatically suffers damage <strong>in place of one of those creatures</strong>, chosen <strong>randomly</strong> (your <strong>decoy bait</strong> is always treated as having neutral Affinity towards all damage types, and cannot gain any other Affinity).</p><p>When an enemy reduces your <strong>decoy bait</strong> to 0 Hit Points, your <strong>decoy bait</strong> is automatically destroyed and you roll [[/r 1d10]]. If the number rolled is equal to or lower than <strong>【3 + your SL in Hawkeye】</strong>, you may immediately perform a free attack with a <strong>bow</strong> or <strong>firearm</strong> weapon you have equipped. This attack may <strong>only</strong> target that enemy, gains a bonus equal to <strong>【your SL in Hawkeye】</strong> to its Accuracy Check, and its damage ignores Immunities and Resistances.</p><p>Your <strong>decoy bait</strong> cannot recover Hit Points and is automatically destroyed at the end of the scene. Make sure to describe what it looks like!</p><hr /><ul><li><p><strong>You Lose:</strong> @LOSS[10 mp]</p></li><li><p>To <strong>automate</strong>, import the following actor into the world: @UUID[Compendium.projectfu.npcs.Actor.3Nt3Kj1uUlYg7P1E]{Decoy Bait}</p></li><li><p>Then, navigate to the '<strong>Settings</strong>' tab. For '<strong>Player</strong>,' select the actor who owns this decoy bait, and for '<strong>Skill</strong>,' select the '<strong>Hawkeye</strong>' skill.</p></li></ul>",
Deep Pockets,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Tinkerer</strong> Class.</p></blockquote><p>When you spend Inventory Points, you spend 1 less Inventory Point (minimum 1).</p>",
"<p>When you spend Inventory Points, you spend 1 less Inventory Point (minimum 1).</p>",
Disarming Rhetoric,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Orator</strong> Class.</p></blockquote><p>During a conflict scene, you may use an action and choose a <strong>soldier</strong>-rank creature that can hear and understand you (the Game Master must tell you who is a valid target). If that creature is <strong>shaken</strong> or in <strong>Crisis</strong>, you may spend an amount of Mind Points equal to <strong>【20 + half that creature's level】</strong> to have them peacefully leave the conflict.</p><p>Describe how you convince them to desist.</p><hr><ul><li><p><strong>You Lose:</strong> @LOSS[20+(@target.level.value/2) mp]{20 + half that creature's level MP}</p></li></ul>",
Double Arrow,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Commander </strong>and <strong>Sharpshooter</strong>.</p></blockquote><p>When you perform the <strong>Attack </strong>action with a <strong>ranged </strong>weapon that belongs to the <strong>bow </strong>Category, if you have <strong>no other weapon equipped</strong>, you may perform two separate attacks instead of one (against the same target or against different targets). If you do, both attacks follow the rules for <strong>two-weapon fighting</strong>: each attack loses the <strong>multi </strong>property and cannot gain it, and you treat the High Roll of each Accuracy Check as being equal to 0 when determining damage.</p><p>Note that this Heroic Skill <strong>does not stack</strong> with a custom weapon’s <strong>quick </strong>customization (using <strong>Double Arrows</strong> with a <strong>quick </strong>bow doesn’t allow more than two attacks, in short).</p>",
Dreamslice,
"<blockquote><p><strong>Requirements: </strong>you must have mastered one or more Classes among <strong>Darkblade</strong> and <strong>Esper</strong>.</p></blockquote><p>When you hit one or more creatures with an attack from your @UUID[Compendium.projectfu.skills.Item.W5hE9L8x7AsJI7a1]{Shadow Strike} Skill using a weapon that belongs to the <strong>sword</strong> Category, each of those creatures loses an amount of Mind Points equal to <strong>【the number you rolled on your Might die for Shadow Strike】</strong>. Then, if <strong>【the number you rolled on your Might die for Shadow Strike】 was 8 or higher</strong>, you may choose one creature hit by the attack: if that creature is your <strong>focus</strong> or you have a <strong>Bond</strong> towards them, that creature will perform one fewer action during their next turn (to a minimum of zero actions).</p><hr><ul><li><p><strong>Target Loses:</strong> @LOSS[(^backlash(mig,hp)+$sl) mp]</p></li></ul>",
Duel Master,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Ace of Cards</strong>, <strong>Fury</strong>, <strong>Rogue</strong>, <strong>Sharpshooter</strong>, and <strong>Weaponmaster</strong>, and you must have acquired the <strong>Magic Cards</strong> Skill.</p></blockquote><p>When you resolve the <strong>Magic Pair</strong> effect, if you attack with a weapon belonging to the <strong>arcane</strong> or <strong>thrown</strong> Category, you deal extra damage equal to the common value of the resolved cards and regain an amount of Mind Points equal to twice the common value of the resolved cards (for instance, resolving a pair of <strong>5s</strong> will allow you to deal 5 extra damage and regain 10 Mind Points).</p>",
Dynamic Synchronization,
"<blockquote><p><strong>Requirements: </strong>you must have mastered the <strong>Pilot</strong> Class.</p></blockquote><p>At the start of your turn during a conflict, if you are driving your <strong>personal vehicle</strong>, you may choose one option: you <strong>synchronize</strong> with another Player Character who is present on the scene and driving their own <strong>personal vehicle</strong>; <strong>or</strong> you <strong>synchronize</strong> with another Player Character who is a passenger on your <strong>personal vehicle</strong>. Describe how you join forces! You and the chosen character <strong>both</strong> receive the following benefits as long as the <strong>synchronization</strong> remains active:</p><ul><li><p>When you perform a Check, you may use the current Attribute die sizes of the other Player Character in place of yours (for one or both dice).</p></li><li><p>When you deal damage, deal extra damage equal to <strong>【the strength of your Bond towards the other PC, plus the strength of their Bond towards you】</strong>.</p></li><li><p>You may use an action to perform a <strong>free attack</strong> with one <strong>enabled or disabled weapon module</strong> present on the <strong>personal vehicle</strong> the other PC is currently on.</p></li><li><p>When your turn ends, if the other PC has yet to take their turn during this round, they may take their turn <strong>immediately</strong> after yours.</p></li></ul><p>This synchronization lasts until the end of the scene, or until you or the other Player Character die, fall unconscious, leave the scene, <strong>synchronize</strong> with someone else, or are no longer aboard a <strong>personal vehicle</strong>.</p>",
Ephemeral Tranquility,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Dancer</strong> (see <strong>High Fantasy</strong>, page <strong>142</strong>), <strong>Esper</strong> (see <strong>Techno Fantasy</strong>, page <strong>150</strong>), <strong>Rogue</strong>, <strong>Spiritist</strong>, and <strong>Symbolist</strong> (see <strong>High Fantasy</strong>, page <strong>146</strong>)</p></blockquote><p>When you cast the @UUID[Compendium.projectfu.spells.Item.JTyMViMTOUrc7bms]{Hallucination} or @UUID[Compendium.projectfu.spells.Item.9ENpDMvIOH9FJAka]{Torpor} spells (see <strong>Core Rulebook</strong>, page <strong>208</strong>), you may apply <strong>both</strong> status effects to each target hit by the spell. During a conflict, you may use an action and spend up to 20 Mind Points. For every 10 Mind Points spent this way, you may choose a different enemy you can see who is suffering from <strong>two or more status effects</strong>. Every enemy chosen this way recovers from all status effects and loses an amount of Hit Points equal to <strong>【half your level + (the number of status effects that enemy recovered from this way, multiplied by 10)】</strong>. Then, you recover 20 Mind Points for each of those enemies that entered <strong>Crisis</strong> or was reduced to 0 Hit Points by this effect.</p><hr /><ul><li><p><strong>You Spend:</strong> @LOSS[10 mp], or @LOSS[20 mp]</p></li><li><p><strong>Target Loses:</strong> @LOSS[(@source.level.value/2)+($tsc*10) hp]</p></li><li><p><strong>You Recover:</strong> @GAIN[20 mp]</p></li></ul>",
Extra HP,
<p>Permanently increase your maximum Hit Points by 10.</p><p>The amount of additional HP increases to 20 if you are <strong>level 40 or higher</strong>.</p>,
<p>Permanently increase your maximum Hit Points by 10. The amount of additional HP increases to 20 if you are <strong>level 40 or higher</strong>.</p>,
Extra IP,
<p>Permanently increase your maximum Inventory Points by 4.</p>,
Extra MP,
<p>Permanently increase your maximum Mind Points by 10.</p><p>The amount of additional MP increases to 20 if you are <strong>level 40 or higher</strong>.</p>,
<p>Permanently increase your maximum Mind Points by 10.  The amount of additional MP increases to 20 if you are <strong>level 40 or higher</strong>.</p>,
Extra Spells,
"<p>When you acquire this Skill, learn any two spells from one of the following lists: <strong>Elementalist</strong>, <strong>Entropist</strong>, or <strong>Spiritist</strong>. Both spells chosen this way must come from the same list, and they follow the standard rules for casting spells of that Class.</p>",
Fast Rituals,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Chimerist</strong>, <strong>Elementalist</strong>, <strong>Entropist</strong>, and <strong>Spiritist</strong>.</p></blockquote><p>When you initiate a Ritual during a conflict scene, its Ritual Clock is created with <strong>two fewer sections </strong>than normal, to a minimum of <strong>four sections</strong>. </p>",
Fitcast,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Chimerist</strong>, <strong>Darkblade</strong>, <strong>Esper</strong> (see <strong>Techno Fantasy</strong>, page <strong>150</strong>), <strong>Fury</strong>, and <strong>Wayfarer</strong></p></blockquote><p><span class=""fontstyle0"">When you perform a Magic Check for a spell or Ritual, you may replace </span><span class=""fontstyle2""><strong>one</strong> </span><span class=""fontstyle0"">of the Attributes with </span><span class=""fontstyle2""><strong>Might</strong> </span><span class=""fontstyle0"">(such as </span><span class=""fontstyle3""><strong>【</strong></span><span class=""fontstyle2""><strong>MIG + MIG</strong></span><span class=""fontstyle3""><strong>】</strong> </span><span class=""fontstyle0"">for a Chimerism Ritual).<br />As long as the </span><span class=""fontstyle2""><strong>Accuracy</strong> </span><span class=""fontstyle0"">formula of a weapon you have equipped includes </span><span class=""fontstyle2""><strong>Might</strong></span><span class=""fontstyle0"">, you may treat that weapon as also belonging to the </span><span class=""fontstyle2""><strong>arcane</strong> </span><span class=""fontstyle0"">Category for the purpose of Skills and effects that require it.</span></p>",
Fleeting Moment,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Weaponmaster </strong>Class, and must have acquired the <strong>Counterattack </strong>Skill.</p></blockquote><p>When you perform a @UUID[Compendium.projectfu.skills.Item.XhcTVGtGEk7L2Ddq]{Counterattack}<strong> </strong>using a <strong>melee </strong>weapon that belongs to the <strong>sword </strong>Category, you may add your High Roll to the damage dealt by the attack (you do not have to treat it as being 0). </p>",
For a Better Future,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Merchant</strong> Class, and must have acquired the <strong>Real Treasure</strong> and <strong>Winds of Trade</strong> Skills</p></blockquote><p>When you need to spend one or more Fabula Points, if you are <strong>not</strong> spending them to <strong>alter the story</strong> (see <strong>Core Rulebook</strong>, page <strong>98</strong>), you may spend that many <strong>Trade Points</strong> instead. Describe which memories of your trades and journeys give you strength!</p><p>Additionally, when you gain <strong>two or more</strong> Trade Points through the @UUID[Compendium.projectfu.skills.Item.lFYCdvybWS7x8e6L]{Real Treasure} or @UUID[Compendium.projectfu.skills.Item.zXB7pBEv1JED1xkh]{Winds of Trade} Skills, you may choose to gain <strong>exactly 1 Trade Point</strong> instead. If you do, choose a settlement within <strong>1 travel day</strong> of your position and increase its <strong>prosperity</strong> by an amount equal to <strong>【your Skill Level in Winds of Trade + your Skill Level in Real Treasure】</strong>; a settlement's <strong>prosperity</strong> starts at 0 and has no upper limit.</p><p>The chart below indicates the effects of your donations on the settlement and on anything within <strong>1 travel day</strong> of it.</p><table border><tbody><tr><th><p>Prosperity</p></th><th><p>Effects within 1 travel day of the settlement</p></th></tr><tr><td><p>10 or more</p></td><td><p>When you or an ally need to pay a cost in zenit, whatever the reason, that cost is <strong>halved</strong>.</p></td></tr><tr><td><p>15 or more</p></td><td><p>People gladly accommodate you and your allies: while in this area, you can always <strong>rest</strong> freely, without spending zenit. Furthermore, any <strong>travel rolls</strong> made in this area never use a die greater than <strong>d8</strong>.</p></td></tr><tr><td><p>20 or more</p></td><td><p>When a Villain in this area spends Ultima Points, they must spend <strong>twice</strong> as many Ultima Points.</p></td></tr></tbody></table>",
Forbidden Rite,
"<blockquote><p><strong>Requirements:</strong> you must have mastered one or more Classes among <strong>Ace of Cards</strong> and <strong>Arcanist</strong>, and you must have acquired <strong>3 Skill Levels</strong> in the <strong>Magic Cards</strong> Skill.</p></blockquote><p>As long as there are one or more cards in your discard pile, you have Resistance to the damage type matching the suit of the card on top of your discard pile (if that card is a joker, you have Resistance to all four damage types: air, earth, fire, and ice).</p><p>You also add the following effect to your list of sets:</p><table style=""height:34px;width:100%;border-width:1px;margin-left:auto;margin-right:auto"" border=""1""><colgroup><col style=""width:27.9621%""></col><col style=""width:72.0379%""></col></colgroup><tbody><tr style=""height:17px""><td style=""height:17px;border-width:1px""><strong>Effect</strong></td><td style=""height:17px;border-width:1px""><strong>Set Requirements</strong></td></tr><tr style=""height:17px""><td style=""height:17px;border-width:1px""><strong>Forbidden Monarch</strong></td><td style=""height:17px;border-width:1px""><p><strong>4 cards</strong> of the <strong>same value</strong>, <strong>none</strong> of which is a <strong>joker</strong> + <strong>1 joker</strong></p></td></tr></tbody></table><p>You deal 777 damage to each enemy present on the scene; the type of this damage is light if the common value of the 4 cards is even, or dark if that total is odd.</p><p>If there is a joker in your discard pile, the damage dealt by this effect ignores Immunities and Resistances.</p>",
Grand Summoning,
"<blockquote><p><strong>Requirements:</strong> you must have mastered the <strong>Arcanist </strong>Class, and your character must be <strong>level 30 or higher</strong> .</p></blockquote><p>When you summon an Arcanum, you may decide to spend 1 Fabula Point and spend half of your current Hit Points (rounded down) to shape your lifeforce into a full manifestation of their power. If you do, the Arcanum manifests as a <strong>soldier</strong> -rank creature of the <strong>demon </strong>Species under your control (they count as an ally and have their own independent turn during conflicts – if you use this Skill during a conflict scene, the Arcanum joins the scene <strong>at the end</strong> of the current round). You also do not gain any of the <strong>merge </strong>benefits you would normally enjoy when summoning that Arcanum. The summoned creature has the following profile:</p><ul><li><p><strong>Level </strong>is equal to your level (thus gaining the bonuses to Checks and damage listed under <strong>steps 8 </strong>on page <strong>303 </strong>of the <strong>Core Rulebook</strong> ).</p></li><li><p>A <strong>d10 </strong>in one Attribute of your choice, and a <strong>d8 </strong>in all other Attributes.</p></li><li><p><strong>Maximum Hit Points</strong> equal to <strong>【</strong> <strong>twice the creature's base Might die size, plus half of your maximum Hit Points</strong> <strong>】</strong> . The creature has <strong>no Mind Points</strong> .</p></li><li><p>Resistance to <strong>two </strong>damage types of your choice.</p></li><li><p>The creature receives all the <strong>merge </strong>benefits the Arcanum would normally grant you when summoned (damage Affinities, immunity to status effects, increased Attribute sizes, etc.). If a <strong>merge </strong>benefit would cause the Arcanum to be dismissed, this will cause the summoned creature to vanish unless you spend 20 Mind Points.</p></li><li><p>A <strong>melee basic attack</strong> whose Accuracy Check relies on <strong>two different Attributes </strong>of your choice and deals <strong>【</strong> <strong>HR + 8</strong> <strong>】 physical damage</strong>. Choose <strong>two different options</strong> : the attack is a <strong>ranged </strong>attack; <strong>or </strong>it deals 4 extra damage; <strong>or </strong>it deals damage of a type other than <strong>physical</strong> ; <strong>or </strong>the Accuracy Check relies on a <strong>single Attribute</strong>.</p></li><li><p>The creature may perform the <strong>Skill </strong>action to produce one of the <strong>dismiss </strong>effects normally granted by that Arcanum, but doing so will cause the summoned creature to vanish unless you spend 20 Mind Points.</p></li></ul><p>The following rules apply when you <strong>Grand Summon</strong> an Arcanum:</p><ul><li><p>The creature is always summoned at full Hit Points, with no status effects.</p></li><li><p>The creature vanishes if it reaches 0 Hit Points, if you die, lose consciousness or leave the scene, or <strong>if you summon or Grand Summon</strong> an Arcanum again. The creature also vanishes when a scene ends, or if you simply command them to do so (this will <strong>not </strong>trigger the corresponding Arcanum's dismiss effect).</p></li><li><p>Take note of all choices made for <strong>Attributes </strong>and <strong>basic attack </strong>during the first time <strong>Summon </strong>a given Arcanum: these choices will remain unchanged whenever you <strong>Grand Summon</strong> that same Arcanum again in the future.</p></li></ul><hr /><ul><li><p><strong>You Spend:</strong> @LOSS[1 fp] and @LOSS[@actor.resources.hp.value/2 hp]{Current HP ÷ 2 HP}</p></li></ul>",
Greater Akromorphosis,
